Frame,Left_Position_Raw,Right_Position_Raw,Left_Position_Filtered,Right_Position_Filtered,Left_Velocity,Right_Velocity,Left_Acceleration,Right_Acceleration
3000,2.0981921445007,-9.591463163747026,-0.6209137999651068,-0.5439165925867481,-0.0007232224188815639,-0.002485787359259417,-0.0007968170658072538,-0.0012839701327952424
3001,2.1001855890380727,-9.593234524871969,-0.622007743610871,-0.547165006030799,-0.001093943645764206,-0.0032484134440509127,-0.0003707212268826421,-0.0007626260847914956
3002,2.0940585872009407,-9.599463194107267,-0.6228879443818242,-0.5503849078727159,-0.0008802007709531878,-0.0032199018419168945,0.00021374287481101817,2.8511602134018155e-05
3003,2.0930729420159087,-9.60041440728573,-0.6230094220022357,-0.5527742372328599,-0.00012147762041159194,-0.0023893293601440213,0.0007587231505415959,0.0008305724817728732
3004,2.0916353984602094,-9.60234005809832,-0.6220263573714782,-0.5537506551706944,0.0009830646307575908,-0.0009764179378345395,0.0011045422511691827,0.0014129114223094819
3005,2.0862671816949216,-9.6103428946098,-0.6198714729360463,-0.5530901512540581,0.002154884435431881,0.0006605039166363014,0.00117181980467429,0.0016369218544708408
3006,2.085078597611706,-9.610898978915783,-0.6167400632893603,-0.5509431261550995,0.003131409646686012,0.002147025098958588,0.0009765252112541312,0.0014865211823222868
3007,2.0891542227812234,-9.60657807279221,-0.6129937332234322,-0.5477375006969295,0.0037463300659280607,0.003205625458170047,0.0006149204192420488,0.001058600359211459
3008,2.0959974738505704,-9.598558457593539,-0.6090239164780572,-0.5440133645686833,0.003969816745374999,0.0037241361282461805,0.00022348667944693812,0.0005185106700761333
3009,2.0951959997401572,-9.598907072235297,-0.605127040999639,-0.5402526311839959,0.003896875478418216,0.003760733384687409,-7.294126695678305e-05,3.659725644122869e-05
3010,2.0913233334968204,-9.601860307487033,-0.6014362109141445,-0.536763028117214,0.003690830085494534,0.003489603066781921,-0.00020604539292368163,-0.00027113031790548803
3011,2.0926653824854786,-9.599778605700836,-0.597929374802431,-0.5336492099845647,0.0035068361117134295,0.0031138181326493264,-0.00018399397378110471,-0.00037578493413259473
3012,2.094351893141203,-9.59825134410045,-0.5945004816294871,-0.5308652006754251,0.0034288931729439254,0.002784009309139579,-7.794293876950409e-05,-0.0003298088235097474
3013,2.093490732946396,-9.59970722312845,-0.5910530011960887,-0.5283086638802202,0.0034474804333983755,0.0025565367952048446,1.858726045445014e-05,-0.00022747251393473444
3014,2.094911220443814,-9.598033874209182,-0.5875675910027787,-0.5259042002187314,0.0034854101933100567,0.0024044636614888315,3.792975991168124e-05,-0.00015207313371601305
3015,2.095832063303489,-9.59711750946351,-0.5841116031419318,-0.5236357608714639,0.0034559878608468875,0.0022684393472675035,-2.9422332463169276e-05,-0.000136024314221328
3016,2.1012769508732614,-9.591667360959292,-0.5807895467518491,-0.5215198679939427,0.0033220563900826505,0.0021158928775212305,-0.00013393147076423695,-0.00015254646974627306
3017,2.0979875134649433,-9.594966024930878,-0.5776645067876254,-0.5195446860513706,0.0031250399642237525,0.0019751819425720685,-0.000197016425858898,-0.00014071093494916198
3018,2.0971877466533138,-9.597044465683545,-0.5746952117876805,-0.5176177537241566,0.002969294999944916,0.0019269323272139705,-0.00015574496427883666,-4.824961535809802e-05
3019,2.0959446106898394,-9.598272925066802,-0.5717248666259358,-0.5155588502772981,0.0029703451617446586,0.002058903446858551,1.0501617997427104e-06,0.00013197111964458053
3020,2.09828422844932,-9.595206740221093,-0.5685309742387195,-0.513148513447741,0.003193892387216346,0.002410336829557047,0.00022354722547168748,0.0003514333826984961
3021,2.1001617154808843,-9.593588130827612,-0.5649141571582893,-0.5102115959080212,0.003616817080430157,0.0029369175397198077,0.0004229246932138109,0.0005265807101627606
3022,2.0991300360626473,-9.593309230417018,-0.5607840291543904,-0.5066952593330445,0.004130128003898892,0.0035163365749767417,0.000513310923468735,0.0005794190352569339
