frame,timestamp_ms,left_horizontal,left_vertical,right_horizontal,right_vertical
36,152.37881152732544,-6.4295953149153835,-5.1747357819947535,-78.26934830851016,-4.549642672568726
37,156.7324918566776,-6.42744356475665,-5.142441171693678,-78.27017399530693,-4.443821128478505
38,161.08617218602976,-6.421639173127819,-5.0976446897663275,-78.27097659090217,-4.384601442160674
39,165.43985251538192,-6.403628443069565,-5.066014534086643,-78.27095197301537,-4.324878753314626
40,169.79353284473407,-6.40833016198854,-5.038487783190976,-78.27307202014846,-4.272867917512154
41,174.14721317408623,-6.3584151962846285,-4.976212415789432,-78.27202685916107,-4.174987921952859
42,178.5008935034384,-6.506250786395853,-4.936518656797559,-78.28019948186841,-4.105552550920619
43,182.85457383279055,-6.493289692586913,-4.933119748221349,-78.27964067761246,-4.107093496095754
44,187.2082541621427,-6.44440392462418,-4.9132163503891455,-78.27761477657545,-4.089688372396423
45,191.56193449149487,-6.401910485704147,-4.856044289493895,-78.27251418627625,-3.9993711736121274
46,195.91561482084703,-6.5598957179054915,-4.829809151347307,-78.2782442566642,-3.9179085621429497
47,200.26929515019918,-6.528682562894361,-4.8319909451624286,-78.27564230186364,-3.976230467914737
48,204.62297547955134,-6.46483440834998,-4.80173548726157,-78.27337880647514,-3.8499516135219127
49,208.9766558089035,-6.443915742470842,-4.779860427503689,-78.26764075955937,-3.8415105912793273
50,213.33033613825566,-6.5076968920972025,-4.735778763962424,-78.27063685506523,-3.7733635145085476
51,217.68401646760782,-6.492819682215826,-4.7559108180425085,-78.26914802525647,-3.8644017804429502
52,222.03769679695998,-6.505057742924906,-4.733687290873676,-78.27315405012823,-3.8590052639791756
53,226.39137712631214,-6.489131878083326,-4.705878592667629,-78.27049077910229,-3.8058666859878936
54,230.7450574556643,-6.450515162419467,-4.698312204652767,-78.26654865642648,-3.8021499021294964
55,235.09873778501645,-6.455559534650677,-4.695583899441716,-78.2686045998383,-3.8367266122317827
56,239.4524181143686,-6.409306661973752,-4.694747214900421,-78.26611175904083,-3.812825684376819
57,243.80609844372077,-6.385381337307295,-4.679741119136723,-78.26344861937483,-3.801082309350667
58,248.15977877307293,-6.354110479737723,-4.66799044212647,-78.26279456321909,-3.818598404377681
59,252.5134591024251,-6.34459643897999,-4.704623602182208,-78.26351434968721,-3.9109908169995777
60,256.8671394317772,-6.433139334294966,-4.730886515805084,-78.27030366532489,-3.9061285620576283
61,261.22081976112935,-6.420011749842116,-4.726467064904789,-78.2685701210223,-3.8094055088932186
62,265.5745000904815,-6.424912070672156,-4.715245407611343,-78.26878191630703,-3.811006866118629
63,269.9281804198336,-6.421946574135741,-4.759984369797521,-78.26964872074764,-3.9015034379896996
64,274.28186074918574,-6.370388440404322,-4.767476669378343,-78.2695781334434,-3.865963396943104
65,278.63554107853787,-6.3494258534164825,-4.7496912844724655,-78.26787393455852,-3.827889948120074
66,282.98922140789,-6.36286453343247,-4.753855838376193,-78.27011326280753,-3.7826164907102586
67,287.34290173724213,-6.356678848700976,-4.786606750628446,-78.27061880092702,-3.89452612457314
68,291.69658206659426,-6.333454073919918,-4.776423570295185,-78.27222376381337,-3.863116901795382
69,296.0502623959464,-6.282258143514795,-4.75620178762367,-78.26982108157542,-3.887627760467193
70,300.4039427252985,-6.286202217421001,-4.7437262462910095,-78.27085185922608,-3.9027486687125097
71,304.75762305465065,-6.281643007332533,-4.776841814019401,-78.27211546706135,-3.9913086333343766
72,309.1113033840028,-6.260872262604893,-4.784170088610899,-78.27332794994318,-4.008658707179716
73,313.4649837133549,-6.231703585841502,-4.783333618545413,-78.27256669051846,-4.030295865054379
74,317.81866404270704,-6.231450245637309,-4.769658861838091,-78.27361831848762,-4.053393989214275
75,322.1723443720592,-6.240280816910603,-4.795807720783557,-78.27934732531612,-4.151975842698322
76,326.5260247014113,-6.212014704348581,-4.791007245518147,-78.28169537657573,-4.144410204724306
77,330.87970503076343,-6.199672209285622,-4.787952362513928,-78.28360524891683,-4.191895508668623
78,335.23338536011556,-6.279924236764002,-4.792952900819253,-78.28977783080325,-4.17226209789119
79,339.5870656894677,-6.275383009406349,-4.8390634968447666,-78.29211522201798,-4.273025895848138
80,343.9407460188198,-6.27004560913008,-4.84657223954763,-78.29507285354582,-4.268503740253939
81,348.29442634817195,-5.994869873846194,-4.849281163884531,-78.28020767508836,-4.34237206555636
82,352.6481066775241,-6.005030376154716,-4.859425801444233,-78.28295340609687,-4.351493538891804
83,357.0017870068762,-5.993909949418488,-4.863316316222317,-78.28446661992656,-4.402348598906464
84,361.35546733622834,-6.00872501031749,-4.847735807025207,-78.2915297338338,-4.443880343424727
85,365.7091476655805,-6.041467415751923,-4.872187976118578,-78.30045297592167,-4.483493004418782
86,370.0628279949326,-5.814544644227735,-4.890530480587088,-78.29225259077081,-4.535138931635741
87,374.41650832428473,-5.689011298308386,-4.88922163343824,-78.28613005527151,-4.5294162068420025
88,378.77018865363686,-5.5806006182134125,-4.872278873061963,-78.28263564774036,-4.6027785840058755
89,383.123868982989,-5.612340950667947,-4.915379425712436,-78.29252895398868,-4.736106096217588
90,387.4775493123411,-5.408617606362438,-4.869697390306158,-78.286128418261,-4.823819051948703
91,391.83122964169326,-5.409833573125914,-4.879605085813589,-78.28815632834981,-4.792250498363785
92,396.1849099710454,-5.193624240953264,-4.869751928879204,-78.2782163904663,-4.900628165898705
93,400.5385903003975,-5.1971657011146535,-4.9293572794223754,-78.28097778733296,-5.041188652936938
94,404.89227062974965,-5.151959159807256,-4.948841680140941,-78.28050262348404,-5.067354775049759
95,409.2459509591018,-5.102131886737317,-4.97134182688563,-78.27887858712742,-5.071807533922169
96,413.5996312884539,-5.076352358990731,-4.980574076003771,-78.27744264150739,-5.110421798852801
97,417.95331161780604,-5.034962736819351,-5.015010981710183,-78.27663108047066,-5.298323424474599
98,422.30699194715817,-5.00986839161339,-5.02318807826597,-78.27747870831539,-5.348701421275681
99,426.6606722765103,-5.007215292281372,-5.017409617943093,-78.27761805529028,-5.3950560268415755
100,431.0143526058624,-5.008796251325353,-4.997329582026952,-78.27784592154026,-5.4681854265338705
101,435.36803293521456,-5.047790814646692,-5.0436480913788415,-78.27999792510084,-5.635768148911463
102,439.7217132645667,-5.015810529079758,-5.063797945070298,-78.28025683417087,-5.66803829456509
103,444.0753935939188,-4.970651215163935,-5.076461367682251,-78.28053867172852,-5.770881354988265
104,448.42907392327095,-4.975976157543228,-5.086817025242536,-78.28305331629524,-5.874198005290309
105,452.7827542526231,-5.03870582604083,-5.181455843973473,-78.29096872311237,-6.045272715209932
106,457.1364345819752,-4.913652602004957,-5.1705946997270384,-78.29154608903626,-5.910468676986735
107,461.49011491132734,-4.828263705566384,-5.210041751240916,-78.29257637596953,-5.91993835259729
108,465.84379524067947,-4.923722584618539,-5.212438926604136,-78.30245967367395,-5.969972918047458
109,470.1974755700316,-4.986825688045346,-5.346487930348397,-78.31604293487521,-6.211882583244915
