frame,timestamp_ms,left_horizontal,left_vertical,right_horizontal,right_vertical
144,622.5762870973576,-1.696380624505382,-7.973447049391806,-59.22656219066836,-6.675470816190849
145,626.9299674267098,-1.918937068677376,-8.076005143224613,-59.283407438692905,-6.853910471189029
146,631.283647756062,-2.0465458526252904,-8.287159641516018,-59.33532540417812,-7.046629967661528
147,635.6373280854142,-2.4417581497411267,-8.260816635393246,-59.45602465063111,-7.0119835635868535
148,639.9910084147664,-2.2495932871771314,-8.007496214309215,-59.36959869991799,-6.729812619372518
149,644.3446887441186,-2.3271742211800395,-7.9867612947122515,-59.37870174917739,-6.762845438003359
150,648.6983690734708,-2.5262890129307203,-8.062153861373632,-59.42347699264641,-6.7861609772507006
151,653.052049402823,-2.8149014144102535,-8.171128802873362,-59.50075156888085,-6.818888277799782
152,657.4057297321751,-2.8753151485231876,-8.163137784844533,-59.51836291852263,-6.79731324781165
153,661.7594100615273,-2.9053783979145087,-8.161871688851052,-59.52190386680096,-6.716985537743292
154,666.1130903908795,-2.926420779356881,-8.102997605481036,-59.51241594988807,-6.749076794765753
155,670.4667707202317,-2.9196891859612606,-8.205950116344018,-59.4941100373688,-6.815397357760259
156,674.8204510495839,-2.8908224478944984,-8.172181094163014,-59.471086434156,-6.698265060531568
157,679.1741313789361,-2.8419923332212464,-8.038117498483183,-59.43329815469276,-6.5102530219857755
158,683.5278117082883,-2.7957477412310197,-7.995318818616827,-59.410201311807484,-6.61199332632402
159,687.8814920376404,-2.7154725959547097,-8.131285635733267,-59.4031328311598,-6.736449333714134
160,692.2351723669926,-2.638803823135723,-8.080545261681713,-59.41864001517076,-6.675354935881215
161,696.5888526963448,-2.586590161632468,-8.062022253193517,-59.46062185506863,-6.601130646747946
162,700.942533025697,-2.6616735943845793,-8.005274716662036,-59.54998166664019,-6.549261417570549
163,705.2962133550492,-2.760885324073892,-8.026583639172111,-59.599114203317676,-6.70016862301443
164,709.6498936844014,-2.9380102282251244,-8.023687731385593,-59.69862758092506,-6.649346697509854
165,714.0035740137536,-3.2224153094291603,-8.019014702263888,-59.820970443974694,-6.582169492721856
166,718.3572543431058,-3.2412528515600356,-7.9654646695933735,-59.81943415634912,-6.550884564977661
167,722.7109346724579,-3.1313699785122515,-7.940231720782259,-59.7979016907041,-6.5892407651244165
168,727.0646150018101,-3.3128516589755925,-7.899832801043026,-59.82973459251641,-6.543265618287979
169,731.4182953311623,-3.3853149101893405,-7.961596806601629,-59.82655141471669,-6.626630694110118
170,735.7719756605145,-3.403168018866714,-7.954667388594966,-59.82676841469857,-6.573259733978501
171,740.1256559898667,-3.4957056711832886,-7.939490980684821,-59.84914000034004,-6.625057715450337
172,744.4793363192189,-3.479388980872038,-7.926338284177723,-59.83549852998225,-6.66985883535167
173,748.8330166485711,-3.5708679273507475,-7.986563809155987,-59.86046445295062,-6.719898586014127
174,753.1866969779232,-3.5252059328866077,-7.949021632599208,-59.83040453221371,-6.6824235343421
175,757.5403773072754,-3.4880975558052105,-7.9107975943568185,-59.8231625097359,-6.636233925056518
176,761.8940576366276,-3.4407815403045334,-7.921926427888197,-59.793049466646394,-6.65446247588648
177,766.2477379659798,-3.5792456973023627,-8.001934196819287,-59.818527584766564,-6.726767283229022
178,770.601418295332,-3.6965464251039997,-8.004336743714394,-59.85615887924932,-6.734264699658798
179,774.9550986246842,-3.7278759368459204,-7.991007187964612,-59.861021311437135,-6.708428256746692
180,779.3087789540364,-3.667123055521943,-7.998330323370319,-59.82260199806182,-6.730590498024034
181,783.6624592833886,-3.860256556912772,-8.042543298980064,-59.889498544254664,-6.778714811607833
182,788.0161396127407,-3.7829720995800225,-8.033296721162987,-59.8643715877588,-6.756308739977786
183,792.3698199420929,-3.687117998054813,-7.995220080003124,-59.82853530931479,-6.692703262447036
184,796.7235002714451,-3.522271977018038,-8.012334058657586,-59.77980677564684,-6.741977031982214
185,801.0771806007973,-3.582376743721144,-8.0731921925187,-59.80944721971952,-6.796320485052068
186,805.4308609301495,-3.5882720792679588,-8.066924600071557,-59.825242200998765,-6.762051114515856
187,809.7845412595017,-3.556584934674013,-8.010803732570853,-59.81121595212803,-6.6725075738976845
188,814.1382215888539,-3.4663446265035107,-8.0040899080104,-59.77723590179709,-6.718739991449313
189,818.491901918206,-3.4221491547258487,-8.083703544711549,-59.754290962774846,-6.829840502354794
190,822.8455822475582,-3.365419864799675,-8.069112521885165,-59.74092400220208,-6.775223308031461
191,827.1992625769104,-3.339625646769081,-8.035057223083614,-59.742587368428545,-6.7437644044505
192,831.5529429062626,-3.3037071536360867,-8.00361269146803,-59.72524331708206,-6.748845104160877
193,835.9066232356148,-3.3371703276381393,-8.039910864226746,-59.7396943469693,-6.8027402784006314
194,840.260303564967,-3.3264175787509376,-8.01532885705872,-59.746658801208305,-6.762166953520439
195,844.6139838943192,-3.264784679222995,-7.980935390526327,-59.72479706926996,-6.739792447729499
196,848.9676642236714,-3.2517157590214607,-8.023013110576816,-59.71735065148845,-6.733569584697348
197,853.3213445530236,-3.2532023775546737,-8.07799557004741,-59.723902138580264,-6.781378910647966
198,857.6750248823757,-3.2514617161753456,-8.051295898722373,-59.72828276361623,-6.719782726806069
199,862.0287052117279,-3.2266025358102497,-7.985362434573668,-59.714510876707685,-6.701492831630378
200,866.3823855410801,-3.218124542830675,-8.044106290944134,-59.713783451943144,-6.751095803507331
201,870.7360658704323,-3.2176540618378615,-8.095793389773952,-59.71534869640278,-6.844497830747635
202,875.0897461997845,-3.2056190105471623,-8.128358338424054,-59.714189181207445,-6.869509160255451
203,879.4434265291367,-3.1969148289916234,-8.090776603324453,-59.70903640891343,-6.875745041403016
204,883.7971068584889,-3.175243128540723,-8.10340879722864,-59.702207621985664,-6.869409914140243
205,888.150787187841,-3.172420000170538,-8.139113479222734,-59.70265447269073,-6.9136034109559725
206,892.5044675171932,-3.184615803977426,-8.140017937227938,-59.69893996398764,-6.887521643581428
207,896.8581478465454,-3.173850387139436,-8.136942763348715,-59.68819785051439,-6.8048912017153524
208,901.2118281758976,-3.226292023577085,-8.146497026029504,-59.69592882917425,-6.800126053359626
209,905.5655085052498,-3.240283704385876,-8.18201317257293,-59.693784897986845,-6.883055866025614
210,909.919188834602,-3.214972311886301,-8.166376980911712,-59.700201451671305,-6.893508961532951
211,914.2728691639542,-3.2055531416208116,-8.129460191302387,-59.71303678835294,-6.8188386442219775
212,918.6265494933064,-3.1996531334038805,-8.133818206789204,-59.72911029938311,-6.831130912722607
213,922.9802298226585,-3.2713989851853547,-8.179168825158209,-59.76136903496454,-6.899893062081036
214,927.3339101520107,-3.15026731876603,-8.126286180795733,-59.77223172618538,-6.8772998510029675
215,931.6875904813629,-3.072603192875171,-8.02255239264013,-59.77936437440772,-6.753230638691131
216,936.0412708107151,-3.0604424372519894,-8.102964710104926,-59.801845023757586,-6.847260454413435
217,940.3949511400673,-3.129760661493752,-8.155541088527107,-59.83105775707046,-6.933282737844319
218,944.7486314694195,-3.1058556058094053,-8.198141333813373,-59.85339739418571,-6.978191743292409
219,949.1023117987717,-3.0122861571994735,-8.179629184718733,-59.85580181646648,-6.985466324942292
220,953.4559921281239,-3.100867406242582,-8.236245284273188,-59.893816867554875,-6.999551916679138
221,957.809672457476,-3.1589722872748767,-8.23111696504704,-59.90088338382684,-7.0035030039771815
222,962.1633527868282,-3.2321164486982354,-8.252204683538777,-59.95236427351761,-7.02780319719232
