frame,timestamp_ms,left_horizontal,left_vertical,right_horizontal,right_vertical
1,0,2.9589911974278986,-0.30494286898032263,-9.91363075078697,-0.7992817712927892
2,4.345055049354594,2.9779196863931388,-0.24915690016931372,-9.889164278868067,-0.7420653891435445
3,8.690110098709187,2.9791730478964378,-0.24925935106865585,-9.881787995468786,-0.7425041551469267
4,13.035165148063781,2.9845423753915257,-0.24946766789240202,-9.86189971523526,-0.742109777926055
5,17.380220197418375,2.9858723529435283,-0.24932935918228963,-9.857577011294007,-0.7413688265936639
6,21.725275246772966,2.990555346848208,-0.24873855898047112,-9.845803366887449,-0.7409864000024851
7,26.07033029612756,2.993382152907266,-0.24819386163770768,-9.83597173865144,-0.7404059309432895
8,30.41538534548215,2.994986273714893,-0.2482894824910973,-9.828392481737657,-0.7401549633912128
9,34.76044039483674,2.997269838859076,-0.24841754613186318,-9.823357687061952,-0.7402813008019316
10,39.105495444191334,3.0072009373948543,-0.24803335520212438,-9.806917692717382,-0.7402915443754581
11,43.450550493545926,3.0177601940775296,-0.24778064293395538,-9.79081433432184,-0.7403444695045913
12,47.79560554290052,3.024254690664867,-0.2475159780481728,-9.775143895623858,-0.7400456985977596
13,52.14066059225511,3.024809801344946,-0.24659562716964742,-9.774271614037698,-0.7397213187104865
14,56.4857156416097,3.02828178438637,-0.24594506367036792,-9.766805625197408,-0.7393935242499103
15,60.83077069096429,3.0315408987764307,-0.24536450826312764,-9.760415653508264,-0.7389906101591396
16,65.17582574031888,3.0319529693129397,-0.2454003660985653,-9.754302411923288,-0.7386389139015159
17,69.52088078967348,3.033238559258213,-0.24543110138593033,-9.75123077994883,-0.7386662301176945
18,73.86593583902808,3.03843367370055,-0.24482322567628265,-9.742962634100902,-0.7382479505206699
19,78.21099088838268,3.0416535638483024,-0.2447771227409973,-9.736714397293923,-0.7380225916847513
20,82.55604593773728,3.041859595297491,-0.24490006390105368,-9.734969427158733,-0.7379543011239034
21,86.90110098709188,3.0426087999034643,-0.244951289383745,-9.734488396063384,-0.7380242989487455
22,91.24615603644648,3.046911598000474,-0.24495811944807422,-9.728659516067665,-0.7380396643246355
23,95.59121108580108,3.0516570659418836,-0.24454319302744393,-9.72318044887809,-0.7378006473543295
24,99.93626613515568,3.051783066313873,-0.244512457736006,-9.719034949926144,-0.7377323567866676
25,104.28132118451028,3.051885228755958,-0.2444031766986426,-9.718749621688763,-0.7377579657497865
26,108.62637623386487,3.054529526538718,-0.24423584010673396,-9.713694918114186,-0.7376060192309672
27,112.97143128321947,3.0546844721092667,-0.24417607703718525,-9.71184685250103,-0.7375223632779752
28,117.31648633257407,3.056317357325575,-0.24427511298071944,-9.707810566447877,-0.7365799531413824
29,121.66154138192867,3.055837197642086,-0.24423071755793632,-9.708324854091426,-0.7367438505850873
30,126.00659643128327,3.057156784392429,-0.24380896102687738,-9.702982821576947,-0.7356153481504067
31,130.35165148063786,3.0575620245752497,-0.24352380578645072,-9.69870575475197,-0.7345670866785426
32,134.69670652999244,3.0583742067088924,-0.243580153828929,-9.695968241976423,-0.7343775800733013
33,139.04176157934702,3.056707273915522,-0.24358356886179133,-9.697527800188334,-0.7349700015696005
34,143.3868166287016,3.060477020562349,-0.2431532747075164,-9.690469854017985,-0.7345073323452914
35,147.7318716780562,3.0612057670818253,-0.24251637100819934,-9.687854987095584,-0.7343912382075497
36,152.07692672741078,3.062453828327409,-0.24229610135024332,-9.681896721264046,-0.7346558645421364
37,156.42198177676536,3.0627705255341353,-0.242403674905024,-9.676721436594605,-0.7345192832120694
38,160.76703682611995,3.065782544978513,-0.241939230338821,-9.667297993701156,-0.7345261122787711
39,165.11209187547453,3.068087945802532,-0.24161992468110904,-9.660474421041497,-0.7340685647636263
